"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_AGRICULTURE", "DM_DATE", "DM_COMMENT", "DM_DATE_START", "DM_DATE_END", "DM_SURF", "DM_SURF_MEAS_UNC", "DM_DATE_UNC", 
"US-ARM", "89306", "GRP_DM_AGRICULTURE", "Other", "20170605", "alfalfa layed down and swathed", , , , , , 
"US-ARM", "89308", "GRP_DM_AGRICULTURE", "Harvest", "20061110", "harvest (soybean), yield was 5 bu per acre", , , , , , 
"US-ARM", "89309", "GRP_DM_AGRICULTURE", "Harvest", "200306", "harvest (winter wheat), yield was 42.4 bu per acre", , , , , , 
"US-ARM", "89314", "GRP_DM_AGRICULTURE", "Other", , "Field was divided into three sections and management different, unclear records", "20140621", "20150915", , , , 
"US-ARM", "89319", "GRP_DM_AGRICULTURE", "Harvest", "20060621", "harvest, yield was 25.75 bu per acre", , , , , , 
"US-ARM", "89326", "GRP_DM_AGRICULTURE", "Harvest", "20051001", "harvest (corn), yield was 26.12 bu per acre", , , , , , 
"US-ARM", "89327", "GRP_DM_AGRICULTURE", "Harvest", "200206", "harvest (winter wheat), yield was 34 bu per acre", , , , , , 
"US-ARM", "89339", "GRP_DM_AGRICULTURE", "Harvest", "20130621", "harvest (wheat), yield was 43 bu per acre", , , , , , 
"US-ARM", "89341", "GRP_DM_AGRICULTURE", "Harvest", "200406", "harvest (winter wheat), yield was 34 bu per acre", , , , , , 
"US-ARM", "89342", "GRP_DM_AGRICULTURE", "Harvest", "20110615", "harvest (canola), yield was 300 lbs per acre", , , , , , 
"US-ARM", "89345", "GRP_DM_AGRICULTURE", "Other", "20160709", "alfalfa layed down", , , , , , 
"US-ARM", "89346", "GRP_DM_AGRICULTURE", "Other", "20160920", "alfalfa baled", , , , , , 
"US-ARM", "89347", "GRP_DM_AGRICULTURE", "Other", "20160915", "alfalfa layed down", , , , , , 
"US-ARM", "89348", "GRP_DM_AGRICULTURE", "Other", "20170606", "alfalfa raked", , , , , , 
"US-ARM", "89350", "GRP_DM_AGRICULTURE", "Harvest", "20140607", "harvest (wheat), yield was 7 bu per acre (north half of field)", , , , , , 
"US-ARM", "89352", "GRP_DM_AGRICULTURE", "Harvest", "200707", "Partial harvest (wheat), approx 20 bu per acre", , , , , , 
"US-ARM", "89353", "GRP_DM_AGRICULTURE", "Other", "20170506", "alfalfa layed down", , , , , , 
"US-ARM", "89354", "GRP_DM_AGRICULTURE", "Other", "20070906", "Field round baled (1000 lbs per acre hay yield)", , , , , , 
"US-ARM", "89357", "GRP_DM_AGRICULTURE", "Other", "20130622", "wheat stubble windrowed and baled (unknown no. and weight)", , , , , , 
"US-ARM", "89358", "GRP_DM_AGRICULTURE", "Other", "20170507", "alfalfa swathed", , , , , , 
"US-ARM", "89359", "GRP_DM_AGRICULTURE", "Other", "20160716", "alfalfa baled", , , , , , 
"US-ARM", "89366", "GRP_DM_AGRICULTURE", "Other", "20170508", "alfalfa baled", , , , , , 
"US-ARM", "89368", "GRP_DM_AGRICULTURE", "Other", "20170912", "alfalfa layed down", , , , , , 
"US-ARM", "89373", "GRP_DM_AGRICULTURE", "Other", "20170607", "alfalfa baled", , , , , , 
"US-ARM", "89379", "GRP_DM_AGRICULTURE", "Harvest", "20090618", "harvest (wheat), yield was 25.1 bu per acre", , , , , , 
"US-ARM", "89386", "GRP_DM_AGRICULTURE", "Other", "20170718", "alfalfa layed down", , , , , , 
"US-ARM", "89387", "GRP_DM_AGRICULTURE", "Other", "20170920", "alfalfa swathed and baled", , , , , , 
"US-ARM", "89392", "GRP_DM_AGRICULTURE", "Other", "20170719", "alfalfa baled", , , , , , 
"US-ARM", "89397", "GRP_DM_AGRICULTURE", "Other", "20070830", "Field swathed", , , , , , 
"US-ARM", "89401", "GRP_DM_AGRICULTURE", "Harvest", "20100622", "harvest (wheat), yield was 32.3 bu per acre", , , , , , 
"US-ARM", "89402", "GRP_DM_AGRICULTURE", "Harvest", "20080925", "harvest (corn), yield was 32.2 bu per acre", , , , , , 
"US-ARM", "89405", "GRP_DM_AGRICULTURE", "Other", "20160525", "alfalfa layed down", , , , , , 
"US-ARM", "89408", "GRP_DM_AGRICULTURE", "Other", "20160528", "alfalfa baled", , , , , , 
"US-ARM", "89410", "GRP_DM_AGRICULTURE", "Harvest", "20120521", "harvest (wheat), yield was 44 bu per acre", , , , , , 
"US-DFK", "88006", "GRP_DM_AGRICULTURE", "Harvest", "201908231300", "Kernza grain was harvest in ~80% of the field", , , "80", "10", "0", 
"US-Dk1", "307", "GRP_DM_AGRICULTURE", "Harvest", "20030725", "Harvesting for hay; See Table 2 in: Stoy PC, G.G. Katul, M.B.S. Siqueira, J.Y. Juang, K.A. Novick, H.R. McCarthy, A.C. Oishi, R. Oren, 2008, Role of vegetation in determining carbon sequestration along ecological succession in the southeastern United States,  Global Change Biology , 14 (6), 1409-1427", , , , , , 
"US-Dk1", "1136", "GRP_DM_AGRICULTURE", "Harvest", "20060515", "Harvesting for hay; See Table 2 in: Stoy PC, G.G. Katul, M.B.S. Siqueira, J.Y. Juang, K.A. Novick, H.R. McCarthy, A.C. Oishi, R. Oren, 2008, Role of vegetation in determining carbon sequestration along ecological succession in the southeastern United States,  Global Change Biology , 14 (6), 1409-1427", , , , , , 
"US-Dk1", "1988", "GRP_DM_AGRICULTURE", "Harvest", "20010602", "Harvesting for hay; See Table 2 in: Stoy PC, G.G. Katul, M.B.S. Siqueira, J.Y. Juang, K.A. Novick, H.R. McCarthy, A.C. Oishi, R. Oren, 2008, Role of vegetation in determining carbon sequestration along ecological succession in the southeastern United States,  Global Change Biology , 14 (6), 1409-1427", , , , , , 
"US-Dk1", "2829", "GRP_DM_AGRICULTURE", "Harvest", "20010628", "Harvesting for hay; See Table 2 in: Stoy PC, G.G. Katul, M.B.S. Siqueira, J.Y. Juang, K.A. Novick, H.R. McCarthy, A.C. Oishi, R. Oren, 2008, Role of vegetation in determining carbon sequestration along ecological succession in the southeastern United States,  Global Change Biology , 14 (6), 1409-1427", , , , , , 
"US-Dk1", "2830", "GRP_DM_AGRICULTURE", "Harvest", "20040519", "Harvesting for hay; See Table 2 in: Stoy PC, G.G. Katul, M.B.S. Siqueira, J.Y. Juang, K.A. Novick, H.R. McCarthy, A.C. Oishi, R. Oren, 2008, Role of vegetation in determining carbon sequestration along ecological succession in the southeastern United States,  Global Change Biology , 14 (6), 1409-1427", , , , , , 
"US-Dk1", "5382", "GRP_DM_AGRICULTURE", "Harvest", "20050901", "Harvesting for hay; See Table 2 in: Stoy PC, G.G. Katul, M.B.S. Siqueira, J.Y. Juang, K.A. Novick, H.R. McCarthy, A.C. Oishi, R. Oren, 2008, Role of vegetation in determining carbon sequestration along ecological succession in the southeastern United States,  Global Change Biology , 14 (6), 1409-1427", , , , , , 
"US-Dk1", "6241", "GRP_DM_AGRICULTURE", "Harvest", "20060925", "Harvesting for hay; See Table 2 in: Stoy PC, G.G. Katul, M.B.S. Siqueira, J.Y. Juang, K.A. Novick, H.R. McCarthy, A.C. Oishi, R. Oren, 2008, Role of vegetation in determining carbon sequestration along ecological succession in the southeastern United States,  Global Change Biology , 14 (6), 1409-1427", , , , , , 
"US-Dk1", "8794", "GRP_DM_AGRICULTURE", "Harvest", "20070525", "Harvesting for hay; See Table 2 in: Stoy PC, G.G. Katul, M.B.S. Siqueira, J.Y. Juang, K.A. Novick, H.R. McCarthy, A.C. Oishi, R. Oren, 2008, Role of vegetation in determining carbon sequestration along ecological succession in the southeastern United States,  Global Change Biology , 14 (6), 1409-1427", , , , , , 
"US-IB1", "4502", "GRP_DM_AGRICULTURE", "Harvest", "20051003", , , , , , , 
"US-IB1", "5372", "GRP_DM_AGRICULTURE", "Harvest", "20061025", , , , , , , 
"US-IB1", "6226", "GRP_DM_AGRICULTURE", "Harvest", "20071013", , , , , , , 
"US-IB1", "7068", "GRP_DM_AGRICULTURE", "Harvest", "20041009", "corn", , , , , , 
"US-Ne1", "264", "GRP_DM_AGRICULTURE", "Harvest", "20051012", "192 bu/ac (12.05 Mg ha-1 )15.5% MC basis.15.5% MC", , , , , , 
"US-Ne1", "281", "GRP_DM_AGRICULTURE", "Harvest", "20021105", "207 bu/ac (12.97 Mg ha-1 )", , , , , , 
"US-Ne1", "288", "GRP_DM_AGRICULTURE", "Harvest", "20041015", "193 bu/ac (12.12 Mg ha-1 ) corrected from 19.5% MC,   CIH2366 8x30 in", , , , , , 
"US-Ne1", "1108", "GRP_DM_AGRICULTURE", "Harvest", "20041014", "193 bu/ac (12.12 Mg ha-1 ) corrected from 19.5% MC", , , , , , 
"US-Ne1", "1950", "GRP_DM_AGRICULTURE", "Harvest", "20051014", "192 bu/ac (12.05 Mg ha-1 )15.5% MC basis.15.5% MC", , , , , , 
"US-Ne1", "1960", "GRP_DM_AGRICULTURE", "Harvest", "20021107", "209 bu/ac (12.97 Mg ha-1 )", , , , , , 
"US-Ne1", "1961", "GRP_DM_AGRICULTURE", "Harvest", "20061005", "167 bu/ac 15.5% basis. 17.9% harvest MC.    CaseIH 2366 combine.", , , , , , 
"US-Ne1", "2808", "GRP_DM_AGRICULTURE", "Harvest", "20041018", "193 bu/ac (12.12 Mg ha-1 ) corrected from 19.5% MC,   CIH2366 8x30 in", , , , , , 
"US-Ne1", "2810", "GRP_DM_AGRICULTURE", "Harvest", "20071106", "203.8 bu/ac 15.5% basis.", , , , , , 
"US-Ne1", "4485", "GRP_DM_AGRICULTURE", "Harvest", "20021104", "206 bu/ac (12.97 Mg ha-1 )", , , , , , 
"US-Ne1", "6194", "GRP_DM_AGRICULTURE", "Harvest", "20051013", "192 bu/ac (12.05 Mg ha-1 )15.5% MC basis.15.5% MC", , , , , , 
"US-Ne1", "7058", "GRP_DM_AGRICULTURE", "Harvest", "20011018", "216 bu/ac. (13.51 Mg ha-1) MC 19.5 %", , , , , , 
"US-Ne1", "7928", "GRP_DM_AGRICULTURE", "Harvest", "20071105", "203.8 bu/ac 15.5% basis.", , , , , , 
"US-Ne1", "9628", "GRP_DM_AGRICULTURE", "Harvest", "20021106", "208 bu/ac (12.97 Mg ha-1 )", , , , , , 
"US-Ne1", "9630", "GRP_DM_AGRICULTURE", "Harvest", "20061004", "167 bu/ac 15.5% basis. 17.9% harvest MC.    CaseIH 2366 combine.", , , , , , 
"US-Ne2", "271", "GRP_DM_AGRICULTURE", "Harvest", "20041025", "53.5 bu/acre corrected from 13% MC", , , , , , 
"US-Ne2", "275", "GRP_DM_AGRICULTURE", "Harvest", "20061003", "62.4 bu/ac as is 9.8% MC basis.", , , , , , 
"US-Ne2", "293", "GRP_DM_AGRICULTURE", "Harvest", "20021009", "58 bu/ac (3.99 MG ha-1) yield", , , , , , 
"US-Ne2", "1099", "GRP_DM_AGRICULTURE", "Harvest", "20051018", "210 bu/ac ( 13.18 MG ha-1)15.5% basis. 15.2% MC", , , , , , 
"US-Ne2", "1113", "GRP_DM_AGRICULTURE", "Harvest", "20021008", "58 bu/ac (3.99 MG ha-1) yield", , , , , , 
"US-Ne2", "1954", "GRP_DM_AGRICULTURE", "Harvest", "20061006", "62.4 bu/ac as is 9.8% MC basis.", , , , , , 
"US-Ne2", "2811", "GRP_DM_AGRICULTURE", "Harvest", "20021007", "58 bu/ac (3.99 MG ha-1)  yield", , , , , , 
"US-Ne2", "5353", "GRP_DM_AGRICULTURE", "Harvest", "20051017", "210 bu/ac ( 13.18 MG ha-1)15.5% basis. 15.2% MC", , , , , , 
"US-Ne2", "5366", "GRP_DM_AGRICULTURE", "Harvest", "20011025", "Yield 213 bu/ac. ( 13.41 MG ha-1) MC% 18.8.", , , , , , 
"US-Ne2", "6198", "GRP_DM_AGRICULTURE", "Harvest", "20031024", "223 bu/ac ( 14.00 MG ha-1) corrected from 18.5% MC", , , , , , 
"US-Ne2", "6199", "GRP_DM_AGRICULTURE", "Harvest", "20041018", "53.5 bu/acre corrected from 13% MC", , , , , , 
"US-Ne2", "6201", "GRP_DM_AGRICULTURE", "Harvest", "20061005", "62.4 bu/ac as is 9.8% MC basis.", , , , , , 
"US-Ne2", "6214", "GRP_DM_AGRICULTURE", "Harvest", "20011024", "Yield 213 bu/ac. ( 13.41 MG ha-1) MC% 18.8.", , , , , , 
"US-Ne2", "7032", "GRP_DM_AGRICULTURE", "Harvest", "20031023", "223 bu/ac ( 14.00 MG ha-1) corrected from 18.5% MC", , , , , , 
"US-Ne2", "7034", "GRP_DM_AGRICULTURE", "Harvest", "20041013", "53.5 bu/acre corrected from 13% MC", , , , , , 
"US-Ne2", "7908", "GRP_DM_AGRICULTURE", "Harvest", "20041019", "53.5 bu/acre corrected from 13% MC", , , , , , 
"US-Ne2", "7917", "GRP_DM_AGRICULTURE", "Harvest", "20071106", "210.4 bu/ac 15.5% basis", , , , , , 
"US-Ne2", "8760", "GRP_DM_AGRICULTURE", "Harvest", "20071105", "210.4 bu/ac 15.5% basis", , , , , , 
"US-Ne3", "277", "GRP_DM_AGRICULTURE", "Harvest", "20011029", "139 bu/ac ( 8.72 Mg ha-1 ). 16.9% MC.", , , , , , 
"US-Ne3", "278", "GRP_DM_AGRICULTURE", "Harvest", "20021010", "49 bu/ac ( 3.32 MG ha-1)", , , , , , 
"US-Ne3", "1103", "GRP_DM_AGRICULTURE", "Harvest", "20021009", "49 bu/ac ( 3.32 MG ha-1)", , , , , , 
"US-Ne3", "1117", "GRP_DM_AGRICULTURE", "Harvest", "20041012", "50 bu/ac ( 3.14 MG ha-1) corrected from 11.9%  MC", , , , , , 
"US-Ne3", "1970", "GRP_DM_AGRICULTURE", "Harvest", "20061003", "61.6 bu/ac as is 9.4% MC.", , , , , , 
"US-Ne3", "2815", "GRP_DM_AGRICULTURE", "Harvest", "20031015", "123 bu/ac ( 7.72 MG ha-1) corrected from 16.9% MC", , , , , , 
"US-Ne3", "2817", "GRP_DM_AGRICULTURE", "Harvest", "20041006", "50 bu/ac ( 3.14 MG ha-1) corrected from 11.9%  MC", , , , , , 
"US-Ne3", "3665", "GRP_DM_AGRICULTURE", "Harvest", "20031013", , , , , , , 
"US-Ne3", "4498", "GRP_DM_AGRICULTURE", "Harvest", "20031016", "123 bu/ac ( 7.72 MG ha-1) corrected from 16.9% MC", , , , , , 
"US-Ne3", "7062", "GRP_DM_AGRICULTURE", "Harvest", "20051018", "145 bu/ac (9.10 MG ha-1) 15.5% basis.  Harvest MC 15.7%,JD9560", , , , , , 
"US-Ne3", "7063", "GRP_DM_AGRICULTURE", "Harvest", "20061009", "61.6 bu/ac as is 9.4% MC.", , , , , , 
"US-Ne3", "7936", "GRP_DM_AGRICULTURE", "Harvest", "20051017", "145 bu/ac (9.10 MG ha-1) 15.5% basis.  Harvest MC 15.7%,JD9560", , , , , , 
"US-Ne3", "8779", "GRP_DM_AGRICULTURE", "Harvest", "20041011", "50 bu/ac ( 3.14 MG ha-1) corrected from 11.9%  MC", , , , , , 
"US-Ne3", "9627", "GRP_DM_AGRICULTURE", "Harvest", "20021011", "49 bu/ac ( 3.32 MG ha-1)", , , , , , 
"US-Ne3", "9640", "GRP_DM_AGRICULTURE", "Harvest", "20061014", "61.6 bu/ac as is 9.4% MC.", , , , , , 
