"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI", "DOI_CITATION", "DOI_DATAPRODUCT", 
"US-OWC", "79337", "GRP_DOI", "10.17190/AMF/1418679", "Gil Bohrer (2015-) AmeriFlux US-OWC Old Woman Creek, 10.17190/AMF/1418679", "AmeriFlux", 
"US-PFa", "15745", "GRP_DOI", "10.17190/AMF/1246090", "Ankur Desai (1996-) AmeriFlux US-PFa Park Falls/WLEF, 10.17190/AMF/1246090", "AmeriFlux", 
"US-PHM", "87129", "GRP_DOI", "10.17190/AMF/1543377", "Anne Giblin (2013-) AmeriFlux US-PHM Plum Island High Marsh, 10.17190/AMF/1543377", "AmeriFlux", 
"US-Pnp", "81463", "GRP_DOI", "10.17190/AMF/1433376", "Ankur Desai (2016-) AmeriFlux US-Pnp Lake Mendota, Picnic Point Site, 10.17190/AMF/1433376", "AmeriFlux", 
"US-Pon", "15711", "GRP_DOI", "10.17190/AMF/1246091", "Shashi Verma (1997-2001) AmeriFlux US-Pon Ponca City, 10.17190/AMF/1246091", "AmeriFlux", 
"US-Prr", "15616", "GRP_DOI", "10.17190/AMF/1246153", "Hideki Kobayashi, Rikie Suzuki (2011-) AmeriFlux US-Prr Poker Flat Research Range Black Spruce Forest, 10.17190/AMF/1246153", "AmeriFlux", 
"US-RC1", "86015", "GRP_DOI", "10.17190/AMF/1498748", "Brian Lamb, Shelley Pressley (2011-2016) AmeriFlux US-RC1 Cook Agronomy Farm - No Till, 10.17190/AMF/1498748", "AmeriFlux", 
"US-RC2", "86016", "GRP_DOI", "10.17190/AMF/1498747", "Brian Lamb, Shelley Pressley (2012-2016) AmeriFlux US-RC2 Cook Agronomy Farm - Conventional Till, 10.17190/AMF/1498747", "AmeriFlux", 
"US-RC3", "86017", "GRP_DOI", "10.17190/AMF/1498749", "Brian Lamb, Shelley Pressley (2011-2016) AmeriFlux US-RC3 WSU Lind Dryland Research Station, 10.17190/AMF/1498749", "AmeriFlux", 
"US-RC4", "86018", "GRP_DOI", "10.17190/AMF/1498750", "Brian Lamb, Shelley Pressley (2012-2016) AmeriFlux US-RC4 Moscow Mountain on-farm site, 10.17190/AMF/1498750", "AmeriFlux", 
"US-RC5", "86019", "GRP_DOI", "10.17190/AMF/1498751", "Brian Lamb, Shelley Pressley (2013-2015) AmeriFlux US-RC5 Moses Lake on-farm site, 10.17190/AMF/1498751", "AmeriFlux", 
"US-Rls", "79336", "GRP_DOI", "10.17190/AMF/1418682", "Gerald Flerchinger (2014-) AmeriFlux US-Rls RCEW Low Sagebrush, 10.17190/AMF/1418682", "AmeriFlux", 
"US-Rms", "33568", "GRP_DOI", "10.17190/AMF/1375202", "Gerald Flerchinger (2014-) AmeriFlux US-Rms RCEW Mountain Big Sagebrush, 10.17190/AMF/1375202", "AmeriFlux", 
"US-Ro1", "15760", "GRP_DOI", "10.17190/AMF/1246092", "John Baker, Tim Griffis, Timothy Griffis (2003-2017) AmeriFlux US-Ro1 Rosemount- G21, 10.17190/AMF/1246092", "AmeriFlux", 
"US-Ro2", "79339", "GRP_DOI", "10.17190/AMF/1418683", "John Baker, Tim Griffis (2003-2017) AmeriFlux US-Ro2 Rosemount- C7, 10.17190/AMF/1418683", "AmeriFlux", 
"US-Ro3", "15619", "GRP_DOI", "10.17190/AMF/1246093", "John Baker, Tim Griffis (2003-2010) AmeriFlux US-Ro3 Rosemount- G19, 10.17190/AMF/1246093", "AmeriFlux", 
"US-Ro4", "79481", "GRP_DOI", "10.17190/AMF/1419507", "John Baker, Tim Griffis (2014-) AmeriFlux US-Ro4 Rosemount Prairie, 10.17190/AMF/1419507", "AmeriFlux", 
"US-Ro5", "79478", "GRP_DOI", "10.17190/AMF/1419508", "John Baker, Tim Griffis (2017-) AmeriFlux US-Ro5 Rosemount I18_South, 10.17190/AMF/1419508", "AmeriFlux", 
"US-Ro6", "79482", "GRP_DOI", "10.17190/AMF/1419509", "John Baker, Tim Griffis (2017-) AmeriFlux US-Ro6 Rosemount I18_North, 10.17190/AMF/1419509", "AmeriFlux", 
"US-Rws", "33569", "GRP_DOI", "10.17190/AMF/1375201", "Gerald Flerchinger (2014-) AmeriFlux US-Rws Reynolds Creek Wyoming big sagebrush, 10.17190/AMF/1375201", "AmeriFlux", 
"US-SCd", "79526", "GRP_DOI", "10.17190/AMF/1419505", "Mike Goulden (2007-) AmeriFlux US-SCd Southern California Climate Gradient - Sonoran Desert, 10.17190/AMF/1419505", "AmeriFlux", 
"US-SCf", "79528", "GRP_DOI", "10.17190/AMF/1419503", "Mike Goulden (2007-) AmeriFlux US-SCf Southern California Climate Gradient - Oak/Pine Forest, 10.17190/AMF/1419503", "AmeriFlux", 
"US-SCg", "79527", "GRP_DOI", "10.17190/AMF/1419502", "Mike Goulden (2007-) AmeriFlux US-SCg Southern California Climate Gradient - Grassland, 10.17190/AMF/1419502", "AmeriFlux", 
"US-SCs", "79529", "GRP_DOI", "10.17190/AMF/1419501", "Mike Goulden (2007-) AmeriFlux US-SCs Southern California Climate Gradient - Coastal Sage, 10.17190/AMF/1419501", "AmeriFlux", 
"US-SCw", "79530", "GRP_DOI", "10.17190/AMF/1419504", "Mike Goulden (2007-) AmeriFlux US-SCw Southern California Climate Gradient - Pinyon/Juniper Woodland, 10.17190/AMF/1419504", "AmeriFlux", 
"US-SdH", "15767", "GRP_DOI", "10.17190/AMF/1246136", "Dave Billesbach, Tim J. Arkebauer (2004-) AmeriFlux US-SdH Nebraska SandHills Dry Valley, 10.17190/AMF/1246136", "AmeriFlux", 
"US-Seg", "15646", "GRP_DOI", "10.17190/AMF/1246124", "Marcy Litvak (2007-) AmeriFlux US-Seg Sevilleta grassland, 10.17190/AMF/1246124", "AmeriFlux", 
"US-Ses", "15717", "GRP_DOI", "10.17190/AMF/1246125", "Marcy Litvak (2007-) AmeriFlux US-Ses Sevilleta shrubland, 10.17190/AMF/1246125", "AmeriFlux", 
"US-SFP", "15706", "GRP_DOI", "10.17190/AMF/1246126", "Tilden Meyers (2007-) AmeriFlux US-SFP Sioux Falls Portable, 10.17190/AMF/1246126", "AmeriFlux", 
"US-Shd", "15718", "GRP_DOI", "10.17190/AMF/1246095", "Shashi Verma (1997-2001) AmeriFlux US-Shd Shidler- Oklahoma, 10.17190/AMF/1246095", "AmeriFlux", 
"US-Skr", "15771", "GRP_DOI", "10.17190/AMF/1246105", "Jose Fuentes (2004-) AmeriFlux US-Skr Shark River Slough (Tower SRS-6)  Everglades, 10.17190/AMF/1246105", "AmeriFlux", 
"US-Slt", "15662", "GRP_DOI", "10.17190/AMF/1246096", "Ken Clark (2004-) AmeriFlux US-Slt Silas Little- New Jersey, 10.17190/AMF/1246096", "AmeriFlux", 
"US-Snd", "15640", "GRP_DOI", "10.17190/AMF/1246094", "Dennis Baldocchi (2007-2015) AmeriFlux US-Snd Sherman Island, 10.17190/AMF/1246094", "AmeriFlux", 
"US-Sne", "79338", "GRP_DOI", "10.17190/AMF/1418684", "Dennis Baldocchi (2016-) AmeriFlux US-Sne Sherman Island Restored Wetland, 10.17190/AMF/1418684", "AmeriFlux", 
"US-SO2", "15700", "GRP_DOI", "10.17190/AMF/1246097", "Walt Oechel (1997-) AmeriFlux US-SO2 Sky Oaks- Old Stand, 10.17190/AMF/1246097", "AmeriFlux", 
"US-SO3", "15710", "GRP_DOI", "10.17190/AMF/1246098", "Walt Oechel (1997-) AmeriFlux US-SO3 Sky Oaks- Young Stand, 10.17190/AMF/1246098", "AmeriFlux", 
"US-SO4", "15715", "GRP_DOI", "10.17190/AMF/1246099", "Walt Oechel (2004-) AmeriFlux US-SO4 Sky Oaks- New Stand, 10.17190/AMF/1246099", "AmeriFlux", 
"US-SP1", "15709", "GRP_DOI", "10.17190/AMF/1246100", "Tim Martin (2000-) AmeriFlux US-SP1 Slashpine-Austin Cary- 65yrs nat regen, 10.17190/AMF/1246100", "AmeriFlux", 
"US-SP2", "15689", "GRP_DOI", "10.17190/AMF/1246101", "Tim Martin (1998-2008) AmeriFlux US-SP2 Slashpine-Mize-clearcut-3yr,regen, 10.17190/AMF/1246101", "AmeriFlux", 
"US-SP3", "15666", "GRP_DOI", "10.17190/AMF/1246102", "Tim Martin (1999-) AmeriFlux US-SP3 Slashpine-Donaldson-mid-rot- 12yrs, 10.17190/AMF/1246102", "AmeriFlux", 
"US-SP4", "15677", "GRP_DOI", "10.17190/AMF/1246103", "Tim Martin (1998-1998) AmeriFlux US-SP4 Slashpine-Rayonier-mid-rot- 12yrs, 10.17190/AMF/1246103", "AmeriFlux", 
"US-SRC", "15719", "GRP_DOI", "10.17190/AMF/1246127", "Shirley Kurc (2008-2018) AmeriFlux US-SRC Santa Rita Creosote, 10.17190/AMF/1246127", "AmeriFlux", 
"US-SRG", "15626", "GRP_DOI", "10.17190/AMF/1246154", "Russell Scott (2008-) AmeriFlux US-SRG Santa Rita Grassland, 10.17190/AMF/1246154", "AmeriFlux", 
"US-SRM", "15756", "GRP_DOI", "10.17190/AMF/1246104", "Russell Scott (2004-) AmeriFlux US-SRM Santa Rita Mesquite, 10.17190/AMF/1246104", "AmeriFlux", 
"US-Srr", "79340", "GRP_DOI", "10.17190/AMF/1418685", "Brian Bergamaschi, Lisamarie Windham-Myers (2014-) AmeriFlux US-Srr Suisun marsh - Rush Ranch, 10.17190/AMF/1418685", "AmeriFlux", 
"US-Sta", "15821", "GRP_DOI", "10.17190/AMF/1246831", "Brent Ewers, Elise Pendall (2006-2009) AmeriFlux US-Sta Saratoga, 10.17190/AMF/1246831", "AmeriFlux", 
"US-StJ", "85254", "GRP_DOI", "10.17190/AMF/1480316", "Rodrigo Vargas (2015-) AmeriFlux US-StJ St Jones Reserve, 10.17190/AMF/1480316", "AmeriFlux", 
"US-SuM", "15701", "GRP_DOI", "10.17190/AMF/1246158", "Dong Wang, Ray Anderson (2013-2013) AmeriFlux US-SuM Maui Sugarcane Middle, 10.17190/AMF/1246158", "AmeriFlux", 
"US-SuS", "15659", "GRP_DOI", "10.17190/AMF/1246159", "Dong Wang, Ray Anderson (2011-2013) AmeriFlux US-SuS Maui Sugarcane Lee/Sheltered, 10.17190/AMF/1246159", "AmeriFlux", 
"US-SuW", "15720", "GRP_DOI", "10.17190/AMF/1246157", "Dong Wang, Ray Anderson (2011-2013) AmeriFlux US-SuW Maui Sugarcane Windy, 10.17190/AMF/1246157", "AmeriFlux", 
"US-Syv", "15741", "GRP_DOI", "10.17190/AMF/1246106", "Ankur Desai (2001-) AmeriFlux US-Syv Sylvania Wilderness Area, 10.17190/AMF/1246106", "AmeriFlux", 
"US-Ton", "15607", "GRP_DOI", "10.17190/AMF/1245971", "Dennis Baldocchi (2001-) AmeriFlux US-Ton Tonzi Ranch, 10.17190/AMF/1245971", "AmeriFlux", 
"US-Tw1", "15723", "GRP_DOI", "10.17190/AMF/1246147", "Dennis Baldocchi (2012-) AmeriFlux US-Tw1 Twitchell Wetland West Pond, 10.17190/AMF/1246147", "AmeriFlux", 
"US-Tw2", "15617", "GRP_DOI", "10.17190/AMF/1246148", "Dennis Baldocchi (2012-2013) AmeriFlux US-Tw2 Twitchell Corn, 10.17190/AMF/1246148", "AmeriFlux", 
"US-Tw3", "15645", "GRP_DOI", "10.17190/AMF/1246149", "Dennis Baldocchi (2013-) AmeriFlux US-Tw3 Twitchell Alfalfa, 10.17190/AMF/1246149", "AmeriFlux", 
"US-Tw4", "15636", "GRP_DOI", "10.17190/AMF/1246151", "Dennis Baldocchi (2013-) AmeriFlux US-Tw4 Twitchell East End Wetland, 10.17190/AMF/1246151", "AmeriFlux", 
"US-Tw5", "87121", "GRP_DOI", "10.17190/AMF/1543380", "Dennis Baldocchi (2018-) AmeriFlux US-Tw5 East Pond Wetland, 10.17190/AMF/1543380", "AmeriFlux", 
"US-Twt", "15633", "GRP_DOI", "10.17190/AMF/1246140", "Dennis Baldocchi (2009-2017) AmeriFlux US-Twt Twitchell Island, 10.17190/AMF/1246140", "AmeriFlux", 
"US-Uaf", "85247", "GRP_DOI", "10.17190/AMF/1480322", "Masahito Ueyama, Hiroki Iwata, Yoshinobu Harazono (2002-) AmeriFlux US-Uaf University of Alaska, Fairbanks, 10.17190/AMF/1480322", "AmeriFlux", 
"US-UM3", "85250", "GRP_DOI", "10.17190/AMF/1480315", "Gil Bohrer (2013-2014) AmeriFlux US-UM3 Douglas Lake, 10.17190/AMF/1480315", "AmeriFlux", 
"US-UMB", "15728", "GRP_DOI", "10.17190/AMF/1246107", "Christopher Gough, Gil Bohrer, Peter Curtis (1999-) AmeriFlux US-UMB Univ. of Mich. Biological Station, 10.17190/AMF/1246107", "AmeriFlux", 
"US-UMd", "15735", "GRP_DOI", "10.17190/AMF/1246134", "Christopher Gough, Gil Bohrer, Peter Curtis (2007-) AmeriFlux US-UMd UMBS Disturbance, 10.17190/AMF/1246134", "AmeriFlux", 
"US-Upa", "15765", "GRP_DOI", "10.17190/AMF/1246108", "Walt Oechel (1993-1994) AmeriFlux US-Upa Upad, 10.17190/AMF/1246108", "AmeriFlux", 
"US-Var", "15608", "GRP_DOI", "10.17190/AMF/1245984", "Dennis Baldocchi (2000-) AmeriFlux US-Var Vaira Ranch- Ione, 10.17190/AMF/1245984", "AmeriFlux", 
"US-Vcm", "15657", "GRP_DOI", "10.17190/AMF/1246121", "Marcy Litvak (2007-) AmeriFlux US-Vcm Valles Caldera Mixed Conifer, 10.17190/AMF/1246121", "AmeriFlux", 
"US-Vcp", "15727", "GRP_DOI", "10.17190/AMF/1246122", "Marcy Litvak (2007-) AmeriFlux US-Vcp Valles Caldera Ponderosa Pine, 10.17190/AMF/1246122", "AmeriFlux", 
"US-Vcs", "79335", "GRP_DOI", "10.17190/AMF/1418681", "Marcy Litvak (2016-) AmeriFlux US-Vcs Valles Caldera Sulphur Springs Mixed Conifer, 10.17190/AMF/1418681", "AmeriFlux", 
"US-WBW", "15614", "GRP_DOI", "10.17190/AMF/1246109", "Tilden Meyers (1995-1999) AmeriFlux US-WBW Walker Branch Watershed, 10.17190/AMF/1246109", "AmeriFlux", 
"US-WCr", "15618", "GRP_DOI", "10.17190/AMF/1246111", "Ankur Desai (1999-) AmeriFlux US-WCr Willow Creek, 10.17190/AMF/1246111", "AmeriFlux", 
"US-Wdn", "15823", "GRP_DOI", "10.17190/AMF/1246832", "Brent Ewers, Elise Pendall (2006-2008) AmeriFlux US-Wdn Walden, 10.17190/AMF/1246832", "AmeriFlux", 
"US-Wgr", "86020", "GRP_DOI", "10.17190/AMF/1498746", "Andres Schmidt, Bev Law (2014-) AmeriFlux US-Wgr Willamette Grass, 10.17190/AMF/1498746", "AmeriFlux", 
"US-Whs", "15631", "GRP_DOI", "10.17190/AMF/1246113", "Russ Scott (2007-) AmeriFlux US-Whs Walnut Gulch Lucky Hills Shrub, 10.17190/AMF/1246113", "AmeriFlux", 
"US-Wi0", "15731", "GRP_DOI", "10.17190/AMF/1246016", "Jiquan Chen (2002-2002) AmeriFlux US-Wi0 Young red pine (YRP), 10.17190/AMF/1246016", "AmeriFlux", 
"US-Wi1", "15698", "GRP_DOI", "10.17190/AMF/1246015", "Jiquan Chen (2003-2003) AmeriFlux US-Wi1 Intermediate hardwood (IHW), 10.17190/AMF/1246015", "AmeriFlux", 
"US-Wi2", "15744", "GRP_DOI", "10.17190/AMF/1246017", "Jiquan Chen (2003-2003) AmeriFlux US-Wi2 Intermediate red pine (IRP), 10.17190/AMF/1246017", "AmeriFlux", 
"US-Wi3", "15694", "GRP_DOI", "10.17190/AMF/1246018", "Jiquan Chen (2002-2004) AmeriFlux US-Wi3 Mature hardwood (MHW), 10.17190/AMF/1246018", "AmeriFlux", 
"US-Wi4", "15752", "GRP_DOI", "10.17190/AMF/1246019", "Jiquan Chen (2002-2005) AmeriFlux US-Wi4 Mature red pine (MRP), 10.17190/AMF/1246019", "AmeriFlux", 
"US-Wi5", "15749", "GRP_DOI", "10.17190/AMF/1246020", "Jiquan Chen (2004-2004) AmeriFlux US-Wi5 Mixed young jack pine (MYJP), 10.17190/AMF/1246020", "AmeriFlux", 
"US-Wi6", "15738", "GRP_DOI", "10.17190/AMF/1246021", "Jiquan Chen (2002-2002) AmeriFlux US-Wi6 Pine barrens #1 (PB1), 10.17190/AMF/1246021", "AmeriFlux", 
"US-Wi7", "15739", "GRP_DOI", "10.17190/AMF/1246022", "Jiquan Chen (2005-2005) AmeriFlux US-Wi7 Red pine clearcut (RPCC), 10.17190/AMF/1246022", "AmeriFlux", 
"US-Wi8", "15654", "GRP_DOI", "10.17190/AMF/1246023", "Jiquan Chen (2002-2002) AmeriFlux US-Wi8 Young hardwood clearcut (YHW), 10.17190/AMF/1246023", "AmeriFlux", 
"US-Wi9", "15669", "GRP_DOI", "10.17190/AMF/1246024", "Jiquan Chen (2004-2005) AmeriFlux US-Wi9 Young Jack pine (YJP), 10.17190/AMF/1246024", "AmeriFlux", 
"US-Wjs", "15656", "GRP_DOI", "10.17190/AMF/1246120", "Marcy Litvak (2007-) AmeriFlux US-Wjs Willard Juniper Savannah, 10.17190/AMF/1246120", "AmeriFlux", 
"US-Wkg", "15764", "GRP_DOI", "10.17190/AMF/1246112", "Russell Scott (2004-) AmeriFlux US-Wkg Walnut Gulch Kendall Grasslands, 10.17190/AMF/1246112", "AmeriFlux", 
"US-Wlr", "15770", "GRP_DOI", "10.17190/AMF/1246115", "David Cook, Richard L. Coulter (2001-2004) AmeriFlux US-Wlr Walnut River Watershed (Smileyburg), 10.17190/AMF/1246115", "AmeriFlux", 
"US-WPT", "15672", "GRP_DOI", "10.17190/AMF/1246155", "Jiquan Chen, Housen Chu (2011-2013) AmeriFlux US-WPT Winous Point North Marsh, 10.17190/AMF/1246155", "AmeriFlux", 
"US-Wrc", "15742", "GRP_DOI", "10.17190/AMF/1246114", "Sonia Wharton (1998-2016) AmeriFlux US-Wrc Wind River Crane Site, 10.17190/AMF/1246114", "AmeriFlux", 
"US-xHA", "87987", "GRP_DOI", "10.17190/AMF/1562391", "Cove Sturtevant, David Durden, Stefan Metzger (2017-) AmeriFlux US-xHA NEON Harvard Forest (HARV), 10.17190/AMF/1562391", "AmeriFlux", 
"US-xKZ", "87988", "GRP_DOI", "10.17190/AMF/1562392", "Cove Sturtevant, David Durden, Stefan Metzger (2017-) AmeriFlux US-xKZ NEON Konza Prairie Biological Station (KONZ), 10.17190/AMF/1562392", "AmeriFlux", 
