"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "PHEN_EVENT_TYPE", "PHEN_EVENT_COMMENT", "PHEN_EVENT_SPP", "PHEN_EVENT_DATE", "PHEN_EVENT_STATUS", "PHEN_EVENT_DATE_UNC", "PHEN_EVENT_APPROACH", "PHEN_EVENT_DATE_SPATIAL_REP_NUMBER", "PHEN_EVENT_DATE_SPATIAL_VARIABILITY", 
"CA-Ca1", "25589", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Will be estimated from NDVI maximum in growing season (GS) indicating PSME and deciduous understory combined.", "(Unknown)", , , , , , , 
"CA-Ca1", "26104", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Gilbert Ethier, personal communications 2008 field notes", "PSME (NRCS plant code)", "20080502", , , , , , 
"CA-Ca1", "26105", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "deciduous understory", "(Unknown)", , , , , , , 
"US-Bar", "23852", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "average across canopy; date is 50% canopy abscission, derived from fAPAR measurements (available on request)", "(All)", "20061016", , , , , , 
"US-Bar", "23984", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "average across canopy; date is 50% canopy abscission, derived from fAPAR measurements (available on request)", "(All)", "20041026", , , , , , 
"US-Bar", "24093", "GRP_PHEN_EVENT_TYPE", "BudBreak", "average across canopy; date is 50% canopy development, derived from fAPAR measurements (available on request)", "(All)", "20060509", , , , , , 
"US-Bar", "24353", "GRP_PHEN_EVENT_TYPE", "BudBreak", "average across canopy; date is 50% canopy development, derived from fAPAR measurements (available on request)", "(All)", "20050519", , , , , , 
"US-Bar", "24498", "GRP_PHEN_EVENT_TYPE", "BudBreak", "average across canopy; date is 50% canopy development, derived from fAPAR measurements (available on request)", "(All)", "20070512", , , , , , 
"US-Bar", "24753", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "average across canopy; date is 50% canopy abscission, derived from fAPAR measurements (available on request)", "(All)", "20051101", , , , , , 
"US-Bar", "25004", "GRP_PHEN_EVENT_TYPE", "BudBreak", "average across canopy; date is 50% canopy development, derived from fAPAR measurements (available on request)", "(All)", "20040509", , , , , , 
"US-Los", "26724", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20010527", , , , , , 
"US-Los", "26725", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20020425", , , , , , 
"US-Los", "26863", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "19990425", , , , , , 
"US-Los", "26864", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20021023", , , , , , 
"US-Los", "26865", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20041027", , , , , , 
"US-Los", "26866", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20051028", , , , , , 
"US-Los", "27016", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20010926", , , , , , 
"US-Los", "27308", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20040510", , , , , , 
"US-Los", "27311", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "19990925", , , , , , 
"US-Los", "27312", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "19991020", , , , , , 
"US-Los", "27570", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20010429", , , , , , 
"US-Los", "27571", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20000528", , , , , , 
"US-Los", "27934", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20040611", , , , , , 
"US-Los", "27935", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20050607", , , , , , 
"US-Los", "28197", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20060601", , , , , , 
"US-Los", "28198", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20000926", , , , , , 
"US-Los", "28199", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20060925", , , , , , 
"US-Los", "28200", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20001021", , , , , , 
"US-Los", "28293", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20000429", , , , , , 
"US-Los", "28294", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "19990527", , , , , , 
"US-Los", "28295", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20061015", , , , , , 
"US-Los", "28536", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20011018", , , , , , 
"US-Los", "28537", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20031026", , , , , , 
"US-Los", "29020", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20020417", , , , , , 
"US-Los", "29021", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20050510", , , , , , 
"US-Los", "29022", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20030608", , , , , , 
"US-Los", "29023", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20020930", , , , , , 
"US-Los", "29024", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20041004", , , , , , 
"US-Los", "29133", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20030511", , , , , , 
"US-Los", "29134", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20060426", , , , , , 
"US-Los", "29136", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20050926", , , , , , 
"US-Los", "29481", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20031004", , , , , , 
"US-Me2", "22113", "GRP_PHEN_EVENT_TYPE", "Flowering", , "Purshia tridentata", "20140520", "Peak", "20", , , , 
"US-Me2", "22117", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "Pinus ponderosa", "20140520", "Start", "20", , , , 
"US-Me2", "22120", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "Pinus ponderosa", "20140911", "Start", "21", , , , 
"US-Me2", "22122", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "Pinus ponderosa", "20141016", "End", "7", , , , 
"US-Me6", "22124", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "Pinus ponderosa", "20100618", , , , , , 
"US-Me6", "22129", "GRP_PHEN_EVENT_TYPE", "Flowering", , "Purshia tridentata", "20140520", "Peak", "20", , , , 
"US-Me6", "22132", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "Pinus ponderosa", "20140520", "Start", "21", , , , 
"US-Me6", "22134", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "Pinus ponderosa", "20140911", "Start", "21", , , , 
"US-Me6", "22135", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "Pinus ponderosa", "20141016", "End", "7", , , , 
"US-MMS", "18320", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "all", "20000426", , , , , , 
"US-MMS", "18324", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", , "all", "20000426", , , , , , 
"US-MMS", "18327", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "all", "20020418", , , , , , 
"US-MMS", "18329", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "all", "20030421", , , , , , 
"US-MMS", "18331", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "all", "20040420", , , , , , 
"US-MMS", "18333", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "not sure why there are 2 dates for this year", "all", "20000510", , , , , , 
"US-MMS", "18335", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", , "all", "20020425", , , , , , 
"US-MMS", "18381", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", , "all", "20030506", , , , , , 
"US-MMS", "18383", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", , "all", "20040513", , , , , , 
"US-MMS", "18385", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "all", "20021112", , , , , , 
"US-MMS", "18386", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "all", "20041027", , , , , , 
"US-MMS", "18387", "GRP_PHEN_EVENT_TYPE", "leaf senescence", , "all", "20021029", , , , , , 
"US-MMS", "18388", "GRP_PHEN_EVENT_TYPE", "leaf senescence", "again not sure why we have 2 dates for this year", "all", "20021015", , , , , , 
"US-MMS", "18389", "GRP_PHEN_EVENT_TYPE", "leaf senescence", , "all", "20041012", , , , , , 
"US-MOz", "23978", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "All species (indicated by sharp decline in litterfall data)", "(All)", "20061126", , , , , , 
"US-MOz", "24237", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Datum above reflects all species (=time of max LAI)", "(All)", "20070601", , , , , , 
"US-MOz", "24346", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "All species (indicated by sharp decline in litterfall data)", "(All)", "20041115", , , , , , 
"US-MOz", "24747", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "All species (indicated by sharp decline in litterfall data)", "(All)", "20051117", , , , , , 
"US-NR1", "24084", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "POTR5=aspen. From forest phenology photos taken in 2007. See http://urquell.colorado.edu/photos/photos_pheno.html", "POTR5 (NRCS plant code)", "20070920", , , , , , 
"US-NR1", "24236", "GRP_PHEN_EVENT_TYPE", "BudBreak", "POTR5=aspen. From forest phenology photos taken in 2007. See http://urquell.colorado.edu/photos/photos_pheno.html", "POTR5 (NRCS plant code)", "20070611", , , , , , 
"US-NR1", "25132", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "POTR5=aspen. From forest phenology photos taken in 2007. See http://urquell.colorado.edu/photos/photos_pheno.html", "POTR5 (NRCS plant code)", "20070913", , , , , , 
"US-PFa", "27321", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Estimated from site PAR data,  Brett Raczka", "(All)", "20010520", , , , , , 
"US-PFa", "27939", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Estimated from site PAR data,  Brett Raczka", "(All)", "20011012", , , , , , 
"US-PFa", "27940", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Estimated from site PAR data,  Brett Raczka", "(All)", "20031017", , , , , , 
"US-PFa", "27941", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Estimated from site PAR data,  Brett Raczka", "(All)", "20000508", , , , , , 
"US-PFa", "29139", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Estimated from site PAR data,  Brett Raczka", "(All)", "20001019", , , , , , 
"US-PFa", "29488", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Estimated from site PAR data,  Brett Raczka", "(All)", "20030519", , , , , , 
"US-SRM", "26763", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Prosopis leaf out every year around this time", "PRVE (NRCS plant code)", "20040409", , , , , , 
"US-SRM", "27066", "GRP_PHEN_EVENT_TYPE", "Flowering", "rain dependent", "(All)", , , , , , , 
"US-SRM", "29056", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "(~ day 250) understory (~ day 300) overstory", "(All)", , , , , , , 
"US-SRM", "29172", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "maximum LAI during mid-monsoon (~213 - 243)for all species", "(All)", , , , , , , 
"US-Syv", "27319", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Inferred from PAR data, Brett Raczka", "(All)", "20031017", , , , , , 
"US-Syv", "27936", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Inferred from PAR data, Brett Raczka", "(All)", "20030530", , , , , , 
"US-Syv", "28202", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Inferred from PAR data, Brett Raczka", "(All)", "20011015", , , , , , 
"US-Syv", "29137", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Inferred from PAR data, Brett Raczka", "(All)", "20020602", , , , , , 
"US-Syv", "29487", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Inferred from PAR data, Brett Raczka", "(All)", "20051014", , , , , , 
"US-Ton", "19697", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20091012", "Peak", "7", "direct", , , 
"US-Ton", "19698", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20101014", "Peak", "7", "direct", , , 
"US-Ton", "19699", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20111113", "Peak", "7", "direct", , , 
"US-Ton", "19700", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20121107", "Peak", "7", "direct", , , 
"US-Ton", "19701", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20130925", "Peak", "7", "direct", , , 
"US-Ton", "19702", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20010323", "Peak", "3", "direct", , , 
"US-Ton", "19703", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20020401", "Peak", "3", "direct", , , 
"US-Ton", "19704", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20030321", "Peak", "3", "direct", , , 
"US-Ton", "19705", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20040311", "Peak", "3", "direct", , , 
"US-Ton", "19706", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20050317", "Peak", "7", "direct", , , 
"US-Ton", "19707", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20060410", "Peak", "7", "direct", , , 
"US-Ton", "19708", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20070324", "Peak", "7", "direct", , , 
"US-Ton", "19709", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20080317", "Peak", "7", "direct", , , 
"US-Ton", "19710", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20090324", "Peak", "7", "direct", , , 
"US-Ton", "19711", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20100318", "Peak", "7", "direct", , , 
"US-Ton", "19712", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20110402", "Peak", "7", "direct", , , 
"US-Ton", "19713", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20120328", "Peak", "7", "direct", , , 
"US-Ton", "19714", "GRP_PHEN_EVENT_TYPE", "BudBreak", , "blue oak", "20130323", "Peak", "7", "direct", , , 
"US-Ton", "19715", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20011022", "Peak", "3", "direct", , , 
"US-Ton", "19716", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20021117", "Peak", "3", "direct", , , 
"US-Ton", "19717", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20031103", "Peak", "3", "direct", , , 
"US-Ton", "19718", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20041017", "Peak", "3", "direct", , , 
"US-Ton", "19719", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20051103", "Peak", "7", "direct", , , 
"US-Ton", "19720", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20061027", "Peak", "7", "direct", , , 
"US-Ton", "19721", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20070920", "Peak", "7", "direct", , , 
"US-Ton", "19722", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", , "blue oak", "20080911", "Peak", "7", "direct", , , 
"US-UMB", "18852", "GRP_PHEN_EVENT_TYPE", "budbreak", "Replicates are individual trees within 60 m of flux tower. Standard deviation is days instead of YYYYMMDD.", "Acer rubrum", "19990504", "start", "4", "opening of bud scales", "5", "1.8", 
